1 218
0 211 4.4 1.3 0.5 -2.45 -1.97 0.92
1 2212 1 2.5 1.4 3.22 -3.18 -0.66
2 211 3.2 3.3 1.7 -0.5 2.35 -0.33
3 -211 2.9 2 0.8 1.61 -2.38 -3.82
4 -321 0.1 0.1 0.5 -0.12 0.23 -0.29
5 -211 0.8 4.1 1 -0.36 1.42 -1.28
6 -211 2.6 0.1 1.7 -2.32 1.65 2.57
7 211 0.8 0.1 0 0.32 0.49 -0.61
8 321 0 0 0 -0.22 -3.76 -0.49
9 211 2.1 0.9 2.2 -0.35 0.43 1.05
10 -211 0 1 0 -2.54 1.61 -1.86
11 211 1 2.2 1.8 0.74 2.69 2.54
12 2212 1.9 4.5 0.2 2.51 -1.28 1.39
13 -211 1.4 1.3 3.6 0.06 -0.95 3.28
14 211 0.1 0 0 -3.08 1.36 0.75
15 211 2.6 1.9 1.1 2.58 -1.46 -1.85
16 -11 1.5 1.9 4 0.39 -0.25 -1.65
17 211 1.8 0.5 1.4 -1.57 3.09 -0.44
18 11 2.5 1.8 1.5 1.4 -0.25 -0.71
19 211 0.8 0.8 0.6 0.21 0.51 2.34
20 211 1.2 0.3 1.1 -3.64 -2.85 1.04
21 2212 0 1.7 0.3 4.74 0.66 -0.33
22 211 1 3.3 0.1 2.15 3.36 0.57
23 -211 0.8 1.2 1.3 2.43 3.68 2.33
24 2112 1.4 1.3 0.7 -0.38 -0.79 -2.34
25 211 0 0 0.1 2.3 -3.03 -2.57
26 211 1 0.7 0.1 1.52 -2.39 0.55
27 11 2.8 2.6 1.9 0.05 0.44 0.05
28 -211 0.1 0.2 0.1 -1.94 0.78 1.14
29 -211 1.6 2.7 2 2.65 -3.03 -0.11
30 -2212 0.6 0.6 0.3 1.48 -0.54 3.99
31 -211 1.9 2.9 2.7 -1.83 1.86 2.24
32 -211 0.4 2.4 0.8 3.9 -0.56 0.03
33 211 1.1 1.3 1 2.12 1.88 -3.85
34 211 0.5 2.4 0.3 0.88 -3.28 -2.63
35 211 1.5 1.3 0.2 -0.41 -2.23 -3.7
36 211 0.1 0.1 0 -1.81 -0.3 -0.33
37 211 0.4 0.2 0 3.22 0.26 -2.55
38 211 0.3 0.6 0.1 1.16 -1.3 1.88
39 -321 1.5 1.4 1.2 -4.2 -0.01 -1
40 -211 2.8 1.7 3.3 -1.26 -0.08 1.25
41 -211 0 0.3 0.3 -0.16 -0.38 -0.15
42 -211 2.4 2.1 2.9 3 -2.44 1.75
43 211 0 1 0 -1.72 -3.45 0.54
44 2212 0 0 0 -1.88 -2.36 2.98
45 321 0.1 0.2 0.1 3.19 3.66 -0.12
46 211 3.7 2.4 1.7 0.63 4.26 1.75
47 -211 0.1 0.2 0 0.24 -0.13 0.1
48 211 0.6 1.8 1.6 -3.19 -3.47 0.31
49 321 0.2 2.2 2.7 1.38 4.08 1.02
50 -211 0.4 0.5 0.2 0.68 -1.38 -0.11
